pair_id	image	sentence_id	bem_transcription
1	1_100_0	1	umwana awachilumendo Ali pachimpelwa
1	1_100_1	2	Ali natina bushe finshi filechitika
1	1_100_2	1	umutwe nausonta panshi , bachimupunka sana , eicho umutwe usontele panshi
1	1_100_3	2	nomba ifyali yeti aichene inga alilekeleko
1	1_100_4	1	emulandu wine alamoneka nomwenso, aicho pachimpelwa kufwaika ukuba nomukalamba ukutila balelonda ifilechitika
1	1_101_0	1	umwaume alenda munshila nembwa shibili
1	1_101_1	2	bushe imbwa muchitu bwingi teti shisume abanta
1	1_101_2	1	kwena nashikakililwa kuntambo tapalisana ubwafya
1	1_101_3	2	kunuma kuli abaume babili abaleyenda , bushe imbwa shintu shalingana
1	1_101_4	1	awee mukwai shili ishApusana ichimo. kuli iyikalamba ilikukulyo nelyo akamwana Kali kukuso
1	1_102_0	1	"imbwa shibili shimulubansa
"
1	1_102_1	2	bushe ninshi shilechita mulubansa
1	1_102_2	1	imo Ili nailala banshi nelyo imbi naiminina kunuma yayinankwe nelyo shileloshanya
1	1_102_3	2	iyiminine naikwata amasako ayafita fita nelyo mumukoshi yantu yabuta
1	1_102_4	1	iyibiye yikwete amasako ayakashika kumolu nakukanwa nelyo ukwashala yantu yafita
1	1_103_0	1	umwaume alechofela inchinga pamulu
1	1_103_1	2	bushe epo alechofela inchinga chitwa shani
1	1_103_2	1	makwai chitwa ichiyongoli  ichisenda amakwebo
1	1_103_3	2	chili ichaonaika bushe chilebomba
1	1_103_4	1	awe kwena tachibomba chalyonaika
1	1_104_0	1	imbwa ilefuma mumenshi
1	1_104_1	2	alemoneka iyanaka bushe yachinwina
1	1_104_2	1	imbwa ishingi shali ishiba ukusamba mukamana tainganwina
1	1_104_3	2	bushe ninshi  yachilachita mumenshi
1	1_104_4	1	yachilatola akamupila Akali mukanwa 
1	1_105_0	1	imbwa iyanakashi Ilinakamwana
1	1_105_1	2	takulemoneka amushili bushe nifinshi ifi ifyabuta
1	1_105_2	1	kuchenda ishatalala kuloka imfula iyamenshi ayakosa eicho konse nakufimbwa nefyabuta
1	1_105_3	2	inga kwalitalala bushe akamwana kambwa takalefwa ukutalala
1	1_105_4	1	nakuba imbwa yalikwata amasako ayachingilila kumpepo nelyo utubwa utunono tufwaika ukuba nanyina mupepi 
1	1_106_0	1	umwana umukashana alelosha muchimashini
1	1_106_1	2	bushe chibomba shani
1	1_106_2	1	chakusendelako ifikope  nangula amafolimu  
1	1_106_3	2	alemoneka awachepesha nokushipikwa bushe Alishiba ifyo chibomba
1	1_106_4	1	mukwai chilemoneka Alishiba nanga shimo nshita kuti afwayako akumwafwilisha
1	1_107_0	1	umwanakashi ali panchinga
1	1_107_1	2	bushe nikwi ali
1	1_107_2	1	kulemoneka nakufimbwa  nempanga Ali mumpanga
1	1_107_3	2	bushe echo afwele kumutwe chibomba shani
1	1_107_4	1	chibomba mukuichingila mukuichena kumutwe inga aba mubusanso
1	1_108_0	1	umwanakashi umusungu namwetula
1	1_108_1	2	alinensansa bushe nifinshi alechita
1	1_108_2	1	naisula akanwa elyo ululimi nalupila
1	1_108_3	2	 alikwata imishishi ishakashika,nomba finshi alechita nolulimi
