pair_id	image	sentence_id	en_translation
1	1_100_0	1	a little boy is on a swing
1	1_100_1	2	he  looks scared. what is he doing?
1	1_100_2	1	he has his head bowed down, it is as if he was pushed hard by somebody.
1	1_100_3	2	won't he get even more hurt of he lets go?
1	1_100_4	1	certainly. that is likely the reason why he seems scared. it is no wonder that when kids are playing on swings, there is some one older to actually watch them.
1	1_101_0	1	a man is walking in a pathway with his tos dogs
1	1_101_1	2	aren't the dogs a danger to passersby?
1	1_101_2	1	not really. they have been tied to a rope.
1	1_101_3	2	behind him are two men. are these dogs the same in age and appearance?
1	1_101_4	1	not really. they are quite different. the one on the right is is older and bigger while the one on the left is smaller.
1	1_102_0	1	two dogs are in a field
1	1_102_1	2	what are these dogs doing in the field?
1	1_102_2	1	one of them is lying while the other one is standing facing head on the one lying.
1	1_102_3	2	the one standing  has black fur but the neck is white
1	1_102_4	1	the other one has brown fur on  its legs however the mouth and the rest of the body are black.
1	1_103_0	1	a young man is riding a bicycle on top
1	1_103_1	2	what is the name of the place where his bicycle is?
1	1_103_2	1	well, he has what carries most luggage
1	1_103_3	2	it appears like it does not work at all.
1	1_103_4	1	certainly not. it is damaged.
1	1_104_0	1	a dog is coming out of the water
1	1_104_1	2	it looms tired. did it by any chance drown?
1	1_104_2	1	certainly not. most dogs are good swimmers
1	1_104_3	2	what was it doing in the water?
1	1_104_4	1	it went to pick a ball in the water which it is carrying in its mouth
1	1_105_0	1	a female dog is with its puppy
1	1_105_1	2	the ground cannot be seen. what are those white stuff?
1	1_105_2	1	this is an extremely cold place hence it snows most of the time, and that white stuff therefore is snow.
1	1_105_3	2	isn't the puppy also feeling cold, since it is cold ?
1	1_105_4	1	dogs have fur which help them to stay warm.  however puppies love to be near their mothers to keep warm
1	1_106_0	1	a little girl is looking through a machine.
1	1_106_1	2	what is the purpose of the machine?
1	1_106_2	1	it is used for capturing pictures or movies
1	1_106_3	2	the little girl looks young and seems to be having trouble with it. does she know how it works.
1	1_106_4	1	she does know however, other times she may need assistance.
1	1_107_0	1	a lady is on a bicycle
1	1_107_1	2	where is this lady?
1	1_107_2	1	she is surrounded by trees. she certainly is in a bush
1	1_107_3	2	what is the purpose of what she is wearing on her head?
1	1_107_4	1	it serves as a protection against getting hurt or any form of danger.
1	1_108_0	1	a white lady is smiling
1	1_108_1	2	she is clearly happy. what is she doing?
1	1_108_2	1	her mouth is open and her tongue, hanging
1	1_108_3	2	she has brown hair. what is she doing to her tongue?
1	1_108_4	1	she is just playing with it.
1	1_109_0	1	a woman wearing a brown coat is standing
1	1_109_1	2	where she is, there are some stones. where have the stones come from?
1	1_109_2	1	ancient buildinf buildings were built with stones and nor blocks  as is illustrated by the building behind the lady
1	1_109_3	2	there are no people at all. what is this lady doing in this place?
1	1_109_4	1	she is taking pictures. very few people visit this place.
1	1_10_0	1	two young men are in the middle of the river standing and watching the sunset
1	1_10_1	2	they are just standing still as they are watching the sun set. what time do you think it is?
1	1_10_2	1	it seems to appear to be in the evenings.
1	1_10_3	2	they appear inactive. why is that the case?
1	1_10_4	1	they were swimming hence they have caught a cold.
1	1_110_0	1	little boys are in a field 
1	1_110_1	2	what are they doing?
1	1_110_2	1	most of them are seated and two are competing
1	1_110_3	2	the one having the ball wants to jump. what game are they playing?
1	1_110_4	1	it seems to be basketball because their aim  is to drop the ball into the basket.
1	1_111_0	1	a lady has a guitar around her neck
1	1_111_1	2	what is she doing?
1	1_111_2	1	she appears to be singing and her eyes are on the guitar
1	1_111_3	2	there seems to be a bush near where she is. where is she?
1	1_111_4	1	no it is not a bush at all. those are just really old buildings.
1	1_112_0	1	two women are teaching each other some wrestling
1	1_112_1	2	what are they wrestling with?
1	1_112_2	1	they are carrying some pointing objects in their hands
1	1_112_3	2	why are they both wearing what seems to be masks?
1	1_112_4	1	 this is because once an opponent points at you, then she wins hence they are covering their faces.
1	1_113_0	1	four people are on a road
1	1_113_1	2	why are they are all wearing jerseys?
1	1_113_2	1	this is because they are in a freezing place that even has snow
1	1_113_3	2	behind them are some white stuff, what are they doing?
1	1_113_4	1	two of these are splashing some snow on each other.
1	1_114_0	1	a white animal is on some sand
1	1_114_1	2	what animal is it exactly?
1	1_114_2	1	they appear like dogs,
1	1_114_3	2	what kind of fur does it have?
1	1_114_4	1	it has extremely white fur with black eyes.
1	1_115_0	1	people are fetching water
1	1_115_1	2	most of them are having head covers. what is the reason?
1	1_115_2	1	it seems that is part of their culture
1	1_115_3	2	have they made a structure for fetching water from it?
1	1_115_4	1	there is only one place for fetching water from it. a little girl is fetching while the older woman is arranging the containers properly.
1	1_116_0	1	a dog has jumped high in the sky
1	1_116_1	2	is it just alone?
1	1_116_2	1	it is with another dog which is just on white sand
1	1_116_3	2	what colour of fur do these dogs have?
1	1_116_4	1	the older one has black fur while the smaller one has black fur on the head but the rest of the body, it has white fur
1	1_117_0	1	dogs are barking
1	1_117_1	2	what  are they barking at?
1	1_117_2	1	it is not clear who or what they are barking at.
1	1_117_3	2	how many dogs are there?
1	1_117_4	1	they are three and are all white.
1	1_118_0	1	an ambulance is behind another vehicle
1	1_118_1	2	the ambulance doesn't look like it is in good shape. what may have happened to cause such an appearance?
1	1_118_2	1	perhaps  it must have been  in an accident and that is why its front is damaged.
1	1_118_3	2	where is the bigger vehicle headed?
